,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
524,HDFC,3.6,Public,23,1,4100,60,69
525,Torrent,3.8,Public,27,1,4600,70,13
526,Orange,4.3,Private,17,1,8000,58,151
527,ISGEC,3.9,Public,90,1,6000,54,11
528,First,3.9,Private,134,1,5900,47,15
529,FedEx,4.2,Private,52,1,4200,33,2
530,DHL,4.2,Private,54,1,4300,41,6
531,Microsoft,4.2,Private,48,1,14200,304,17
532,Inox,4.1,Public,24,1,4600,37,13
533,Marriott,4.2,Private,96,1,5700,51,445
534,NTPC,4.3,Private,48,1,3900,103,2
535,Swaraj,4.3,Private,61,1,4300,34,2
536,Belrise,3.8,Private,27,1,5700,52,6
537,Hindustan,4.2,Public,97,1,4100,46,2
538,Medi,3.7,Private,23,1,4800,55,50
539,Hindustan,4.2,Private,49,1,5700,53,2
540,Kent,3.6,Private,24,1,5100,41,13
541,Alstom,3.9,Private,95,1,7000,56,2
542,Varroc,3.7,Public,35,1,5500,52,5
543,Tata,4.1,Private,17,1,6100,44,2
544,Chegg,4.3,Private,18,1,3100,91,33
545,Faurecia,4.0,Private,26,1,6000,43,15
546,SRL,4.1,Private,28,1,3900,40,13
547,Dainik,4.1,Public,65,1,5100,28,92
548,Planet,3.7,Private,6,1,2000,184,71
549,Medanta,4.2,Private,14,1,3700,52,29
550,ABC,3.9,Public,80,1,25900,184,61
551,Sony,4.4,Public,29,1,4800,31,23
552,FactSet,4.0,Private,45,1,6200,101,22
553,Optum,4.1,Private,23,998,6300,50,3
554,Barclays,4.2,Private,16,998,5500,22,9
555,Matrimony,4.4,Public,26,994,3900,43,93
556,Tesco,4.0,Private,104,994,7900,45,57
557,iOPEX,4.0,Private,14,990,3900,33,28
558,Nayara,4.2,Private,34,990,5000,46,34
559,Team,3.7,Private,36,989,6400,47,64
560,Sitel,3.8,Private,38,987,4000,42,119
561,Muthoot,3.6,Public,136,987,4300,47,2
562,Capgemini,3.7,Private,23,987,10300,113,71
563,Credit,4.1,Private,167,984,10600,112,4
564,Emami,4.0,Public,49,983,4900,41,10
565,Niva,3.7,Private,15,980,5400,53,2
566,Trent,4.1,Public,25,979,3600,37,3
567,KFC,4.1,Private,71,979,2300,29,2
568,Mercer,3.9,Private,78,977,6800,47,32
569,Jindal,4.0,Public,39,976,4900,50,2
