,company_name,stars,sector,Years,Reviews,Salaries,Interviews,jobs
356,Whirlpool,4.1,Public,112,1400,7600,46,14
357,SRF,4.3,Public,53,1400,6400,82,2
358,Force,3.4,Public,65,1400,6800,71,2
359,ITC,4.1,Public,48,1400,5500,43,2
360,Shahi,4.1,Private,49,1400,6900,62,54
361,Reliance,4.4,Private,17,1400,4400,65,2
362,Myntra,4.1,Private,16,1400,9100,101,74
363,Kalpataru,4.1,Public,42,1400,6800,75,2
364,Saint,4.0,Private,358,1400,8700,99,58
365,Cybage,4.0,Private,28,1400,9600,95,79
366,Barclays,4.1,Private,333,1300,15600,105,4
367,Kansai,3.9,Public,103,1300,6200,64,2
368,BT,4.2,Private,177,1300,10400,62,12
369,Brakes,4.0,Private,61,1300,6600,38,4
370,Info,4.1,Public,28,1300,8700,174,417
371,ICICI,3.7,Public,28,1300,6800,81,3
372,Bharti,3.9,Private,17,1300,5700,72,2
373,Shell,4.4,Public,19,1300,10200,104,195
374,Cadila,3.4,Public,72,1300,6200,62,8
375,Delphi,3.9,Private,34,1300,5100,50,2
376,i,3.6,Public,30,1300,9600,82,97
377,Blinkit,3.8,Private,10,1300,7100,85,6
378,Endurance,3.8,Public,38,1300,6500,56,4
379,Lodha,4.1,Private,43,1300,7300,59,63
380,Bharat,4.1,Private,71,1300,7000,88,2
381,Sobha,4.0,Public,28,1300,7300,48,58
382,caf,4.0,Private,27,1300,4800,16,8
383,JCB,4.0,Private,78,1300,7100,56,2
384,Tata,4.2,Private,66,1300,4700,48,131
385,JK,3.8,Private,72,1300,6300,49,1
386,Indian,4.6,Private,73,1300,4100,14,2
387,Big,4.3,Private,22,1300,5300,28,2
388,Future,3.8,Private,16,1300,6200,57,51
389,Thomson,4.2,Private,15,1300,10800,41,1
390,Jubilant,3.9,Public,28,1300,6600,79,58
391,Gabriel,4.2,Public,62,1300,4000,54,2
392,Honda,4.1,Private,38,1300,7000,75,2
393,Coromandel,4.1,Public,62,1300,6600,52,4
394,Syngene,3.9,Public,30,1300,5800,91,49
395,Sopra,4.1,Private,55,1300,8700,61,42
396,Exide,3.8,Private,22,1300,5700,55,18
397,CSS,3.7,Private,27,1300,9200,145,36
398,Ninjacart,3.9,Private,8,1300,5700,64,23
399,GVK,3.8,Private,18,1300,4400,40,18
400,Bureau,3.9,Private,195,1300,7400,51,18
